掲載日,書名,著者名,価格,当月合計冊数,出版社名
2020/03/13,【タテコミ】その魔女を放せ（28）【フルカラー】,[著]二目,10,9,[発行]閲文漫画
2020/03/13,【タテコミ】その魔女を放せ（28）【フルカラー】,[著]二目,30,9,[発行]閲文漫画
2020/03/13,【タテコミ】その魔女を放せ（28）【フルカラー】,[著]二目,60,5,[発行]閲文漫画
2020/03/13,【タテコミ】その魔女を放せ（29）【フルカラー】,[著]二目,10,9,[発行]閲文漫画
2020/03/13,【タテコミ】その魔女を放せ（29）【フルカラー】,[著]二目,30,9,[発行]閲文漫画
2020/03/13,【タテコミ】その魔女を放せ（29）【フルカラー】,[著]二目,60,5,[発行]閲文漫画
2020/03/20,【タテコミ】その魔女を放せ（30）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/03/20,【タテコミ】その魔女を放せ（30）【フルカラー】,[著]二目,30,8,[発行]閲文漫画
2020/03/20,【タテコミ】その魔女を放せ（30）【フルカラー】,[著]二目,60,6,[発行]閲文漫画
2020/03/20,【タテコミ】その魔女を放せ（31）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/03/20,【タテコミ】その魔女を放せ（31）【フルカラー】,[著]二目,30,8,[発行]閲文漫画
2020/03/20,【タテコミ】その魔女を放せ（31）【フルカラー】,[著]二目,60,5,[発行]閲文漫画
2020/03/27,【タテコミ】その魔女を放せ（32）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/03/27,【タテコミ】その魔女を放せ（32）【フルカラー】,[著]二目,30,7,[発行]閲文漫画
2020/03/27,【タテコミ】その魔女を放せ（32）【フルカラー】,[著]二目,60,6,[発行]閲文漫画
2020/03/27,【タテコミ】その魔女を放せ（33）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/03/27,【タテコミ】その魔女を放せ（33）【フルカラー】,[著]二目,30,8,[発行]閲文漫画
2020/03/27,【タテコミ】その魔女を放せ（33）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/04/03,【タテコミ】その魔女を放せ（34）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/04/03,【タテコミ】その魔女を放せ（34）【フルカラー】,[著]二目,30,8,[発行]閲文漫画
2020/04/03,【タテコミ】その魔女を放せ（34）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/04/03,【タテコミ】その魔女を放せ（35）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
2020/04/03,【タテコミ】その魔女を放せ（35）【フルカラー】,[著]二目,30,8,[発行]閲文漫画
2020/04/03,【タテコミ】その魔女を放せ（35）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/04/10,【タテコミ】その魔女を放せ（36）【フルカラー】,[著]二目,10,8,[発行]閲文漫画
