Release date,Title,Author,Price,Total sales (current month),Publisher
2022/05/25,Mermaid’s Egg [VertiComix](89),[author]wan,0.6,1,[publisher]KUAIKAN
2022/05/25,Mermaid’s Egg [VertiComix](90),[author]wan,0.6,1,[publisher]KUAIKAN
2022/05/25,Mermaid’s Egg [VertiComix](91),[author]wan,0.6,1,[publisher]KUAIKAN
2022/05/25,Mermaid’s Egg [VertiComix](92),[author]wan,0.6,1,[publisher]KUAIKAN
2022/05/13,Private Devil Puppy [VertiComix](100),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/13,Private Devil Puppy [VertiComix](101),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/13,Private Devil Puppy [VertiComix](102),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/13,Private Devil Puppy [VertiComix](103),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/13,Private Devil Puppy [VertiComix](104),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/20,Private Devil Puppy [VertiComix](105),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/20,Private Devil Puppy [VertiComix](106),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/20,Private Devil Puppy [VertiComix](107),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/20,Private Devil Puppy [VertiComix](108),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/20,Private Devil Puppy [VertiComix](109),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/27,Private Devil Puppy [VertiComix](110),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/27,Private Devil Puppy [VertiComix](111),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/27,Private Devil Puppy [VertiComix](112),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/27,Private Devil Puppy [VertiComix](113),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/06,Private Devil Puppy [VertiComix](95),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/06,Private Devil Puppy [VertiComix](96),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/06,Private Devil Puppy [VertiComix](97),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/06,Private Devil Puppy [VertiComix](98),[author]CHIYU,0.6,1,[publisher]KUAIKAN
2022/05/06,Private Devil Puppy [VertiComix](99),[author]CHIYU,0.6,1,[publisher]KUAIKAN
